nThreads,lenSequences,type,lcs,timeElapsed[s]
1,70000,1,45837,47.496
2,70000,0,45836,52.446
2,70000,1,45837,28.388
3,70000,0,45836,36.678
3,70000,1,45837,20.184
4,70000,0,45836,28.584
4,70000,1,45837,17.213
5,70000,0,45836,29.444
5,70000,1,45837,24.046
6,70000,0,45836,28.612
6,70000,1,45837,20.203
7,70000,0,45836,22.994
7,70000,1,45837,17.449
8,70000,0,45836,24.334
8,70000,1,45837,17.253
1,80000,0,52308,106.173
1,80000,1,52308,58.295
2,80000,0,52308,61.036
2,80000,1,52308,33.209
3,80000,0,52308,44.363
3,80000,1,52308,26.047
4,80000,0,52308,37.414
4,80000,1,52308,19.547
5,80000,0,52308,40.84
5,80000,1,52308,29.397
6,80000,0,52308,37.577
6,80000,1,52308,25.948
7,80000,0,52308,30.296
7,80000,1,52308,26.324
8,80000,0,52308,28.097
8,80000,1,52308,23.58
1,90000,0,58830,135.908
1,90000,1,58831,73.774
2,90000,0,58830,70.826
2,90000,1,58831,39.7
3,90000,0,58830,56.814
3,90000,1,58831,30.957
4,90000,0,58830,50.509
4,90000,1,58831,28.679
5,90000,0,58830,48.259
5,90000,1,58831,39.636
6,90000,0,58830,48.037
6,90000,1,58831,38.46
7,90000,0,58830,43.377
7,90000,1,58831,32.017
8,90000,0,58830,44.633
8,90000,1,58831,29.941
