nThreads,lenSequences,type,lcs,timeElapsed[s]
1,70000,0,45836,82.071
1,70000,1,45837,44.43
2,70000,0,45836,43.068
2,70000,1,45837,28.994
3,70000,0,45836,32.492
3,70000,1,45837,21.143
4,70000,0,45836,28.361
4,70000,1,45837,15.378
5,70000,0,45836,31.161
5,70000,1,45837,24.123
6,70000,0,45836,28.621
6,70000,1,45837,20.718
7,70000,0,45836,26.993
7,70000,1,45837,18.837
8,70000,0,45836,24.216
8,70000,1,45837,17.589
1,80000,0,52308,104.435
1,80000,1,52308,58.264
2,80000,0,52308,55.165
2,80000,1,52308,33.713
3,80000,0,52308,49.616
3,80000,1,52308,36.742
4,80000,0,52308,44.053
4,80000,1,52308,27.063
5,80000,0,52308,56.614
5,80000,1,52308,45.981
6,80000,0,52308,46.412
6,80000,1,52308,32.362
7,80000,0,52308,37.198
7,80000,1,52308,25.294
8,80000,0,52308,31.836
8,80000,1,52308,23.358
1,90000,0,58830,138.475
1,90000,1,58831,73.838
2,90000,0,58830,73.496
2,90000,1,58831,42.588
3,90000,0,58830,61.471
3,90000,1,58831,33.789
4,90000,0,58830,49.356
4,90000,1,58831,27.105
5,90000,0,58830,54.613
5,90000,1,58831,39.645
6,90000,0,58830,48.99
6,90000,1,58831,37.182
7,90000,0,58830,42.896
7,90000,1,58831,33.349
8,90000,0,58830,39.272
8,90000,1,58831,30.367
