nThreads,lenSequences,type,lcs,timeElapsed[s]
1,1,0,0,0
1,1,1,1,0
2,1,0,0,0
2,1,1,1,0
3,1,0,0,0
3,1,1,1,0
4,1,0,0,0
4,1,1,1,0
5,1,0,0,0
5,1,1,1,0
6,1,0,0,0
6,1,1,1,0
7,1,0,0,0.001
7,1,1,1,0
8,1,0,0,0.012
8,1,1,1,0.014
1,100,0,57,0
1,100,1,57,0
2,100,0,57,0
2,100,1,57,0
3,100,0,57,0
3,100,1,57,0
4,100,0,57,0
4,100,1,57,0
5,100,0,57,0
5,100,1,57,0
6,100,0,57,0.001
6,100,1,57,0
7,100,0,57,0.004
7,100,1,57,0
8,100,0,57,0.003
8,100,1,57,0.001
1,1000,0,643,0.018
1,1000,1,643,0.011
2,1000,0,643,0.012
2,1000,1,643,0.007
3,1000,0,643,0.008
3,1000,1,643,0.006
4,1000,0,643,0.007
4,1000,1,643,0.004
5,1000,0,643,0.007
5,1000,1,643,0.005
6,1000,0,643,0.007
6,1000,1,643,0.004
7,1000,0,643,0.008
7,1000,1,643,0.004
8,1000,0,643,0.016
8,1000,1,643,0.006
1,10000,0,6532,1.654
1,10000,1,6532,0.952
2,10000,0,6532,0.898
2,10000,1,6532,0.524
3,10000,0,6532,0.642
3,10000,1,6532,0.35
4,10000,0,6532,0.501
4,10000,1,6532,0.272
5,10000,0,6532,0.54
5,10000,1,6532,0.415
6,10000,0,6532,0.479
6,10000,1,6532,1.691
7,10000,0,6532,1.305
7,10000,1,6532,0.412
8,10000,0,6532,0.509
8,10000,1,6532,0.439
1,100000,0,65389,163.013
1,100000,1,65389,92.743
2,100000,0,65389,99.513
2,100000,1,65389,58.819
3,100000,0,65389,73.84
3,100000,1,65389,40.279
4,100000,0,65389,58.259
4,100000,1,65389,35.18
5,100000,0,65389,64.24
5,100000,1,65389,55.011
6,100000,0,65389,58.712
6,100000,1,65389,41.458
7,100000,0,65389,51.014
7,100000,1,65389,39.331
8,100000,0,65389,48.66
8,100000,1,65389,35.999
1,15000,0,9780,4.896
1,15000,1,9780,2.259
2,15000,0,9780,2.031
2,15000,1,9780,1.088
3,15000,0,9780,1.408
3,15000,1,9780,0.78
4,15000,0,9780,1.1
4,15000,1,9780,0.598
5,15000,0,9780,1.245
5,15000,1,9780,0.924
6,15000,0,9780,1.222
6,15000,1,9780,1.025
7,15000,0,9780,1.206
7,15000,1,9780,0.89
8,15000,0,9780,0.946
8,15000,1,9780,0.684
1,200,0,127,0.001
1,200,1,128,0
2,200,0,127,0.001
2,200,1,128,0
3,200,0,127,0.001
3,200,1,128,0
4,200,0,127,0.003
4,200,1,128,0
5,200,0,127,0.001
5,200,1,128,0
6,200,0,127,0.001
6,200,1,128,0.001
7,200,0,127,0.003
7,200,1,128,0
8,200,0,127,0.001
8,200,1,128,0.001
1,2000,0,1302,0.078
1,2000,1,1303,0.051
2,2000,0,1302,0.05
2,2000,1,1303,0.025
3,2000,0,1302,0.035
3,2000,1,1303,0.02
4,2000,0,1302,0.028
4,2000,1,1303,0.015
5,2000,0,1302,0.029
5,2000,1,1303,0.02
6,2000,0,1302,0.025
6,2000,1,1303,0.017
7,2000,0,1302,0.028
7,2000,1,1303,0.025
8,2000,0,1302,0.032
8,2000,1,1303,0.032
1,20000,0,13082,7.305
1,20000,1,13082,4.279
2,20000,0,13082,3.856
2,20000,1,13082,2.272
3,20000,0,13082,2.469
3,20000,1,13082,1.378
4,20000,0,13082,2.158
4,20000,1,13082,1.171
5,20000,0,13082,2.98
5,20000,1,13082,2.354
6,20000,0,13082,2.309
6,20000,1,13082,1.729
7,20000,0,13082,1.826
7,20000,1,13082,1.318
8,20000,0,13082,1.885
8,20000,1,13082,1.414
1,30000,0,19596,17.247
1,30000,1,19596,9.624
2,30000,0,19596,8.602
2,30000,1,19596,4.742
3,30000,0,19596,6.363
3,30000,1,19596,4.276
4,30000,0,19596,5.164
4,30000,1,19596,2.869
5,30000,0,19596,5.539
