nThreads,lenSequences,type,lcs,timeElapsed[s]
5,30000,1,19596,4.71
6,30000,0,19596,4.679
6,30000,1,19596,4.07
7,30000,0,19596,4.147
7,30000,1,19596,3.923
8,30000,0,19596,3.688
8,30000,1,19596,3.222
1,40000,0,26149,27.736
1,40000,1,26149,15.5
2,40000,0,26149,15.98
2,40000,1,26149,8.576
3,40000,0,26149,10.313
3,40000,1,26149,7.194
4,40000,0,26149,9.382
4,40000,1,26149,4.962
5,40000,0,26149,9.645
5,40000,1,26149,8.311
6,40000,0,26149,8.708
6,40000,1,26149,6.438
7,40000,0,26149,7.612
7,40000,1,26149,7.262
8,40000,0,26149,8.14
8,40000,1,26149,4.927
1,500,0,317,0.006
1,500,1,317,0.005
2,500,0,317,0.006
2,500,1,317,0.002
3,500,0,317,0.004
3,500,1,317,0.002
4,500,0,317,0.004
4,500,1,317,0.002
5,500,0,317,0.004
5,500,1,317,0.002
6,500,0,317,0.003
6,500,1,317,0.002
7,500,0,317,0.003
7,500,1,317,0.003
8,500,0,317,0.006
8,500,1,317,0.993
1,2000,0,1296,0.094
1,2000,1,1297,0.059
2,2000,0,1296,0.058
2,2000,1,1297,0.035
3,2000,0,1296,0.04
3,2000,1,1297,0.022
4,2000,0,1296,0.033
4,2000,1,1297,0.02
5,2000,0,1296,0.033
5,2000,1,1297,0.024
6,2000,0,1296,0.03
6,2000,1,1297,0.021
7,2000,0,1296,0.029
7,2000,1,1297,0.021
8,2000,0,1296,0.035
8,2000,1,1297,0.035
1,50000,0,32687,41.502
1,50000,1,32687,23.205
2,50000,0,32687,23.515
2,50000,1,32687,12.389
3,50000,0,32687,16.533
3,50000,1,32687,8.94
4,50000,0,32687,14.884
4,50000,1,32687,7.851
5,50000,0,32687,17.436
5,50000,1,32687,11.89
6,50000,0,32687,13.398
6,50000,1,32687,11.946
7,50000,0,32687,13.426
7,50000,1,32687,12.652
8,50000,0,32687,10.543
8,50000,1,32687,9.141
1,60000,0,39231,66.214
1,60000,1,39231,33.878
2,60000,0,39231,32.128
2,60000,1,39231,20.047
3,60000,0,39231,24.825
3,60000,1,39231,15.939
4,60000,0,39231,20.183
4,60000,1,39231,11.561
5,60000,0,39231,23.669
5,60000,1,39231,18.138
6,60000,0,39231,20.14
6,60000,1,39231,16.323
7,60000,0,39231,19.321
7,60000,1,39231,13.943
8,60000,0,39231,17.661
8,60000,1,39231,11.965
1,70000,0,45836,83.519
1,70000,1,45837,47.379
2,70000,0,45836,42.213
2,70000,1,45837,24.295
3,70000,0,45836,31.972
3,70000,1,45837,20.035
4,70000,0,45836,28.069
4,70000,1,45837,15.252
5,70000,0,45836,34.452
5,70000,1,45837,26.47
6,70000,0,45836,29.987
6,70000,1,45837,19.79
7,70000,0,45836,25.74
7,70000,1,45837,20.242
8,70000,0,45836,23.194
8,70000,1,45837,17.874
1,80000,0,52308,105.181
1,80000,1,52308,61.594
2,80000,0,52308,55.457
2,80000,1,52308,35.616
3,80000,0,52308,43.97
3,80000,1,52308,26.217
4,80000,0,52308,37.419
4,80000,1,52308,21.579
5,80000,0,52308,44.928
5,80000,1,52308,33.796
6,80000,0,52308,37.644
6,80000,1,52308,28.981
7,80000,0,52308,35.488
7,80000,1,52308,25.566
8,80000,0,52308,31.313
8,80000,1,52308,23.046
1,90000,0,58830,136.358
1,90000,1,58831,74.874
2,90000,0,58830,75.785
2,90000,1,58831,43.29
3,90000,0,58830,55.237
3,90000,1,58831,33.986
4,90000,0,58830,46.394
4,90000,1,58831,29.775
5,90000,0,58830,53.458
5,90000,1,58831,39.791
6,90000,0,58830,45.995
6,90000,1,58831,38.066
7,90000,0,58830,40.45
7,90000,1,58831,38.208
8,90000,0,58830,54.345
8,90000,1,58831,36.901
4,100,0,57,0.001
4,100,1,57,0
4,1,1,1,0
4,1,0,0,0.001
4,1,0,0,0
4,1,1,1,0
4,1,0,0,0
4,1,0,0,0
4,1,1,1,0
4,1,0,0,0
4,1,1,1,0
4,1,0,1,0
4,1,1,1,0
4,2000,0,1303,0.035
