nProcess,lenSequences,type,timeElapsed[s]
1,1,0,8.72e-06
1,1,1,8.838e-06
2,1,0,2.9422e-05
2,1,1,4.4088e-05
3,1,0,2.752e-05
3,1,1,3.716e-05
4,1,0,4.7951e-05
4,1,1,2.9157e-05
1,100,0,0.000375743
1,100,1,0.000223034
2,100,0,0.000350708
2,100,1,0.000284311
3,100,0,0.000264985
3,100,1,0.000336212
4,100,0,0.000316368
4,100,1,0.000436495
1,1000,0,0.019463
1,1000,1,0.0177425
2,1000,0,0.0116884
2,1000,1,0.0100986
3,1000,0,0.00919804
3,1000,1,0.00762559
4,1000,0,0.00706821
4,1000,1,0.0137444
1,10000,0,1.89106
1,10000,1,1.53497
2,10000,0,1.05616
2,10000,1,0.843838
3,10000,0,0.752297
3,10000,1,0.647643
4,10000,0,0.614848
4,10000,1,0.535429
1,100000,0,195.598
1,100000,1,154.829
2,100000,0,109.277
2,100000,1,88.8573
3,100000,0,89.4312
3,100000,1,72.479
4,100000,0,72.8951
4,100000,1,59.4422
1,15000,0,5.78778
1,15000,1,3.72769
2,15000,0,2.34658
2,15000,1,1.95648
3,15000,0,1.68941
3,15000,1,1.69004
4,15000,0,1.81093
4,15000,1,1.46006
1,200,0,0.00155998
1,200,1,0.000805915
2,200,0,0.0007053
2,200,1,0.000595326
3,200,0,0.00069006
3,200,1,0.000610188
4,200,0,0.000987669
4,200,1,0.00143983
1,2000,0,0.093954
1,2000,1,0.0770754
2,2000,0,0.0515204
2,2000,1,0.0407488
3,2000,0,0.0429801
3,2000,1,0.0395822
4,2000,0,0.0287472
4,2000,1,0.044516
1,20000,0,8.05639
1,20000,1,6.4921
2,20000,0,4.31289
2,20000,1,4.10538
3,20000,0,3.59846
3,20000,1,2.72735
4,20000,0,2.38888
4,20000,1,2.38
1,30000,0,17.9451
1,30000,1,14.6841
2,30000,0,11.4428
2,30000,1,8.38772
3,30000,0,7.01043
3,30000,1,5.73756
4,30000,0,6.57472
4,30000,1,6.02473
1,40000,0,31.972
1,40000,1,25.0188
2,40000,0,18.3924
2,40000,1,14.7871
3,40000,0,12.7213
3,40000,1,10.2211
4,40000,0,11.7657
4,40000,1,9.87631
1,500,0,0.00641801
1,500,1,0.00482155
2,500,0,0.00359408
2,500,1,0.00293149
3,500,0,0.00276048
3,500,1,0.0026018
4,500,0,0.00236042
4,500,1,0.00289746
1,2000,0,0.0954915
1,2000,1,0.0763164
2,2000,0,0.0517702
2,2000,1,0.0410186
3,2000,0,0.0354776
3,2000,1,0.0414513
4,2000,0,0.0348474
4,2000,1,0.0263039
1,50000,0,48.0866
1,50000,1,38.6341
2,50000,0,27.0287
2,50000,1,23.4287
3,50000,0,20.117
3,50000,1,18.2206
4,50000,0,16.9697
4,50000,1,15.0959
1,60000,0,69.257
1,60000,1,55.4626
2,60000,0,38.1822
2,60000,1,30.5444
3,60000,0,29.9828
3,60000,1,25.2354
4,60000,0,25.6397
4,60000,1,21.9641
1,70000,0,93.662
1,70000,1,75.8745
2,70000,0,52.2278
2,70000,1,46.9229
3,70000,0,38.2404
3,70000,1,33.559
4,70000,0,35.5419
4,70000,1,30.3744
1,80000,0,126.509
1,80000,1,99.2534
2,80000,0,69.806
2,80000,1,59.1971
3,80000,0,51.7573
3,80000,1,46.2145
4,80000,0,45.9099
4,80000,1,38.6561
1,90000,0,155.959
1,90000,1,131.17
2,90000,0,100.168
2,90000,1,74.7788
3,90000,0,65.6
3,90000,1,56.3642
4,90000,0,60.0833
4,90000,1,49.0857
4,2000,1,0.0378233
4,2000,0,0.0375813
4,10000,0,0.601757
4,10000,1,0.566083
4,30000,1,4.66074
4,30000,0,5.31676
4,80000,0,52.5087
4,80000,1,45.3501
4,1,1,3.299e-05
4,1,0,3.9185e-05
4,1,0,5.3745e-05
4,1,1,2.9735e-05
4,200,0,0.000659424
4,200,1,0.00115234
4,200,0,0.000585942
4,200,1,0.00113537
4,2000,0,0.0391926
4,2000,1,0.0278687
4,500,1,0.00403157
4,500,0,0.00349855
4,20000,0,2.69335
4,20000,1,2.4703
4,15000,1,1.35056
4,2000,1,0.0342092
4,1,1,3.0421e-05
4,1,0,4.1913e-05
4,100,0,0.000391787
4,200,0,0.000874694
4,200,1,0.00109302
3,200,1,0.000554991
2,200,1,0.000679351
1,200,1,0.000725306
4,200,1,0.00103651
4,200,0,0.000657706
3,200,0,0.000924468
2,200,0,0.00100127
1,200,0,0.000822328
1,1,0,9.847e-06
1,1,1,1.0395e-05
2,1,1,1.9532e-05
2,1,0,1.9976e-05
3,1,0,2.7026e-05
3,1,1,3.1688e-05
4,1,1,2.4309e-05
4,1,0,3.978e-05
