lenSequences,type,lcs,timeElapsed[s]
1,0,0,0.000746528
1,1,0,0.000473376
100,0,57,0.00115443
100,1,57,0.000902752
1000,0,643,0.0132717
1000,1,643,0.00379238
10000,0,6532,0.198795
10000,1,6532,0.139725
100000,0,65389,11.9671
100000,1,65389,8.82616
15000,0,39573,0.316439
15000,1,9780,0.237298
200,0,127,0.00178595
200,1,127,0.00120563
2000,0,1302,0.0145497
2000,1,1302,0.00801875
20000,0,13082,0.561993
20000,1,13082,0.409953
30000,0,19596,1.20111
30000,1,19596,0.85385
40000,0,41837,2.04934
40000,1,26149,1.48828
500,0,317,0.00910266
500,1,317,0.00218323
2000,0,1296,0.0199907
2000,1,1296,0.00802387
50000,0,32687,3.14633
50000,1,32687,2.27913
60000,0,39231,4.45488
60000,1,39231,3.24909
70000,0,45836,6.09571
70000,1,45836,4.36566
80000,0,52308,7.76166
80000,1,52308,5.70523
90000,0,58830,9.788
90000,1,58830,7.14837
