lenSequences,lcs,timeElapsed[s]
1,32717,0
100,100,0
1000,681,0.013
10000,6532,0.891
100000,65389,91.824
15000,9780,2.028
200,200,0
2000,1303,0.037
20000,13082,3.641
30000,19596,8.342
40000,26149,14.61
500,407,0.002
2000,1297,0.044
50000,32687,22.843
60000,39231,33.19
70000,45837,46.865
80000,52308,58.541
90000,58831,80.431
