lenSequences,lcs,timeElapsed[s]
1,1,0
100,57,0
1000,643,0.017
10000,6532,1.416
100000,65389,135.804
15000,9780,3.052
200,128,0
2000,1303,0.062
20000,13082,5.42
30000,19596,12.48
40000,26149,22.108
500,317,0.008
2000,1297,0.059
50000,32687,33.721
60000,39231,48.78
70000,45837,66.413
80000,52308,86.66
90000,58831,110.587
