lenSequences,lcs,timeElapsed[s]
1,1,0
100,57,0
1000,643,0.017
10000,6532,1.378
100000,65389,134.916
15000,9780,3.056
200,128,0
2000,1303,0.063
20000,13082,5.432
30000,19596,12.186
40000,26149,21.682
500,317,0.005
2000,1297,0.061
50000,32687,33.862
60000,39231,49.067
70000,45837,66.827
80000,52308,86.355
90000,58831,109.359
