lenSequences,lcs,timeElapsed[s]
1,32583,0
100,100,0
1000,681,0.013
10000,6532,0.891
100000,65389,93.87
15000,9780,2.018
200,200,0
2000,1303,0.042
20000,13082,3.573
30000,19596,8.048
40000,26149,14.62
500,407,0.003
2000,1297,0.038
50000,32687,22.85
60000,39231,33.53
70000,45837,44.866
80000,52308,58.515
90000,58831,77.413

