lenSequences,lcs,timeElapsed[s]
1,32569,0
100,100,0
1000,681,0.012
10000,6532,0.898
100000,65389,92.531
15000,9780,2.006
200,200,0
2000,1303,0.041
20000,13082,3.578
30000,19596,8.296
40000,26149,14.635
500,407,0.003
2000,1297,0.041
50000,32687,22.855
60000,39231,32.931
70000,45837,44.786
80000,52308,58.991
90000,58831,74.075
